"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-02-06","2025-01-30","SF FuneralFDC00000007D3C250130","","126.5","","1154078.48"
"2025-02-06","2025-01-31","SF FuneralF901139       250201","","126.5","","1154204.98"
"2025-02-06","2025-01-31","SF FuneralF901181       250202","","126.5","","1154331.48"
"2025-02-06","2025-01-31","SF FuneralF980282       250201","","126.5","","1154457.98"
"2025-02-06","2025-01-31","SF FuneralFDC0000000HC2B250201","","126.5","","1154584.48"
"2025-02-06","2025-01-31","SF FuneralF988231       250201","","126.5","","1154710.98"
"2025-02-06","2025-01-31","SF FuneralF989566       250201","","126.5","","1154837.48"
"2025-02-06","2025-01-31","SF FuneralF1120573      250131","","31.63","","1154869.11"
"2025-02-06","2025-02-01","SF FuneralFDC00000006FPY250201","","126.5","","1154995.61"
"2025-02-06","2025-02-01","SF FuneralFDC00000006GMK250201","","126.5","","1155122.11"
"2025-02-06","2025-02-01","SF FuneralFDC00000006NNL250201","","126.5","","1155248.61"
"2025-02-06","2025-02-01","SF FuneralFDC00000006P0S250201","","126.5","","1155375.11"
"2025-02-06","2025-02-01","SF FuneralFDC00000006T73250201","","126.5","","1155501.61"
"2025-02-06","2025-02-01","SF FuneralFDC00000006VP7250201","","126.5","","1155628.11"
"2025-02-06","2025-02-01","SF FuneralFDC000000086MP250201","","126.5","","1155754.61"
"2025-02-06","2025-02-01","SF FuneralFDC000000086MQ250201","","126.5","","1155881.11"
"2025-02-06","2025-02-01","SF FuneralF820961       250201","","126.5","","1156007.61"
"2025-02-06","2025-02-01","SF FuneralF831162       250201","","126.5","","1156134.11"
"2025-02-06","2025-02-01","SF FuneralF832973       250201","","126.5","","1156260.61"
"2025-02-06","2025-02-01","SF FuneralF842311       250201","","126.5","","1156387.11"
"2025-02-06","2025-02-01","SF FuneralF993271       250201","","126.5","","1156513.61"
"2025-02-06","2025-02-01","SF FuneralF993673       250201","","126.5","","1156640.11"
"2025-02-06","2025-02-01","SF FuneralF993709       250201","","126.5","","1156766.61"
"2025-02-06","2025-02-01","SF FuneralF1022060      250201","","126.5","","1156893.11"
"2025-02-06","2025-02-01","SF FuneralF1022061      250201","","126.5","","1157019.61"
"2025-02-06","2025-02-01","SF FuneralFDC0000000K226250201","","126.5","","1157146.11"
"2025-02-06","2025-02-01","SF FuneralF1058860      250201","","126.5","","1157272.61"
"2025-02-06","2025-02-01","SF FuneralF1066652      250201","","126.5","","1157399.11"
"2025-02-06","2025-02-01","SF FuneralFDC0000000L1TB250201","","126.5","","1157525.61"
"2025-02-06","2025-02-01","SF FuneralF1078251      250201","","126.5","","1157652.11"
