"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-02-23","2025-02-17","SF FuneralF1068208      250217","","126.5","","438797.91"
"2025-02-23","2025-02-17","SF FuneralFDC0000000LJ60250217","","31.63","","438829.54"
"2025-02-23","2025-02-18","SF FuneralFDC0000000317Z250218","","220","","439049.54"
"2025-02-23","2025-02-18","SF FuneralF831226       250218","","31.63","","439081.17"
"2025-02-23","2025-02-21","SF FuneralFDC00000006Z5Z250221","","126.5","","439207.67"
"2025-02-23","2025-02-21","SF FuneralF900608       250221","","31.63","","439239.3"
"2025-02-23","2025-02-21","SF FuneralF1073760      250221","","126.5","","439365.8"
"2025-02-23","2025-02-22","SF FuneralFDC00000006105250222","","126.5","","439492.3"
"2025-02-23","2025-02-22","SF FuneralFDC000000061GM250222","","126.5","","439618.8"
"2025-02-23","2025-02-22","SF FuneralFDC000000063FL250222","","126.5","","439745.3"
"2025-02-23","2025-02-22","SF FuneralFDC00000007L73250222","","126.5","","439871.8"
"2025-02-23","2025-02-22","SF FuneralFDC00000007RT9250222","","126.5","","439998.3"
"2025-02-23","2025-02-22","SF FuneralFDC000000080Y6250222","","126.5","","440124.8"
"2025-02-23","2025-02-22","SF FuneralF799644       250222","","126.5","","440251.3"
"2025-02-23","2025-02-22","SF FuneralF810047       250222","","126.5","","440377.8"
"2025-02-23","2025-02-22","SF FuneralF814925       250222","","126.5","","440504.3"
"2025-02-23","2025-02-22","SF FuneralFDC0000000C4G1250222","","126.5","","440630.8"
"2025-02-23","2025-02-22","SF FuneralF1017658      250222","","126.5","","440757.3"
"2025-02-23","2025-02-22","SF FuneralF1080302      250222","","126.5","","440883.8"
"2025-02-23","2025-02-22","SF FuneralF787638       250222","","191.5","","441075.3"
"2025-02-23","2025-02-22","SF FuneralFDC0000000NQZN250222","","126.5","","441201.8"
"2025-02-23","2025-02-22","SF FuneralF1125301      250222","","126.5","","441328.3"
"2025-02-23","2025-02-22","SF FuneralF1127627      250222","","126.5","","441454.8"
"2025-02-23","2025-02-22","SF FuneralF1130679      250222","","126.5","","441581.3"
"2025-02-23","2025-02-17","SF FuneralF819080       250217","","126.5","","441707.8"
"2025-02-23","2025-02-18","SF FuneralF1117887      250218","","126.5","","441834.3"
"2025-02-23","2025-02-20","SF FuneralFDC00000005RTM250220","","220","","442054.3"
"2025-02-23","2025-02-20","SF FuneralF1054882      250220","","126.5","","442180.8"
"2025-02-23","2025-02-21","SF FuneralFDC000000082WP250221","","126.5","","442307.3"
"2025-02-23","2025-02-21","SF FuneralF842750       250221","","126.5","","442433.8"
"2025-02-23","2025-02-21","SF FuneralFDC0000000J4YX250223","","126.5","","442560.3"
"2025-02-23","2025-02-22","SF FuneralFDC000000060Y7250222","","126.5","","442686.8"
"2025-02-23","2025-02-22","SF FuneralFDC00000006239250222","","126.5","","442813.3"
"2025-02-23","2025-02-22","SF FuneralFDC0000000645Q250222","","126.5","","442939.8"
"2025-02-23","2025-02-22","SF FuneralFDC00000007JRW250222","","126.5","","443066.3"
"2025-02-23","2025-02-22","SF FuneralFDC00000007S3V250222","","126.5","","443192.8"
"2025-02-23","2025-02-22","SF FuneralFDC000000085JP250222","","126.5","","443319.3"
"2025-02-23","2025-02-22","SF FuneralF800657       250222","","126.5","","443445.8"
"2025-02-23","2025-02-22","SF FuneralFDC00000008H1L250222","","126.5","","443572.3"
"2025-02-23","2025-02-22","SF FuneralFDC00000008H1M250222","","126.5","","443698.8"
"2025-02-23","2025-02-22","SF FuneralFDC00000008TQS250222","","126.5","","443825.3"
"2025-02-23","2025-02-22","SF FuneralF810029       250222","","126.5","","443951.8"
"2025-02-23","2025-02-22","SF FuneralF812459       250222","","126.5","","444078.3"
"2025-02-23","2025-02-22","SF FuneralFDC00000009H4P250222","","126.5","","444204.8"
"2025-02-23","2025-02-22","SF FuneralF1074447      250222","","126.5","","444331.3"
"2025-02-23","2025-02-22","SF FuneralFDC0000000L9D1250222","","126.5","","444457.8"
"2025-02-23","2025-02-22","SF FuneralF1113796      250223","","126.5","","444584.3"
"2025-02-23","2025-02-22","SF FuneralF1116719      250222","","126.5","","444710.8"
"2025-02-23","2025-02-22","SF FuneralF1119891      250222","","126.5","","444837.3"
