"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-02-01","2025-01-22","SF FuneralF802870       250122","","126.5","","1391629.29"
"2025-02-01","2025-01-22","SF FuneralF820021       250122","","126.5","","1391755.79"
"2025-02-01","2025-01-22","SF FuneralF840792       250122","","126.5","","1391882.29"
"2025-02-01","2025-01-22","SF FuneralF988455       250122","","126.5","","1392008.79"
"2025-02-01","2025-01-22","SF FuneralF991457       250122","","126.5","","1392135.29"
"2025-02-01","2025-01-22","SF FuneralF991753       250122","","126.5","","1392261.79"
"2025-02-01","2025-01-22","SF FuneralF1061976      250122","","126.5","","1392388.29"
"2025-02-01","2025-01-24","SF FuneralFDC00000002SMZ250124","","220","","1392608.29"
"2025-02-01","2025-01-24","SF FuneralFDC00000007NTY250125","","126.5","","1392734.79"
"2025-02-01","2025-01-24","SF FuneralFDC00000007Q2R250125","","126.5","","1392861.29"
"2025-02-01","2025-01-24","SF FuneralFDC00000007Q5P250125","","126.5","","1392987.79"
"2025-02-01","2025-01-24","SF FuneralFDC000000086C7250127","","126.5","","1393114.29"
"2025-02-01","2025-01-24","SF FuneralF809383       250128","","126.5","","1393240.79"
"2025-02-01","2025-01-24","SF FuneralF817194       250125","","126.5","","1393367.29"
"2025-02-01","2025-01-24","SF FuneralF817312       250128","","126.5","","1393493.79"
"2025-02-01","2025-01-24","SF FuneralFDC0000000B3H1250128","","126.5","","1393620.29"
"2025-02-01","2025-01-24","SF FuneralF1065771      250128","","126.5","","1393746.79"
"2025-02-01","2025-01-24","SF FuneralFDC0000000LLZK250127","","191.5","","1393938.29"
"2025-02-01","2025-01-24","SF FuneralF1108894      250125","","126.5","","1394064.79"
"2025-02-01","2025-01-27","SF FuneralFDC0000000831X250126","","63.25","","1394128.04"
"2025-02-01","2025-01-31","SF FuneralFDC00000009VGG250131","","126.5","","1394254.54"
"2025-02-01","2025-01-31","SF FuneralFDC0000000H1QJ250201","","126.5","","1394381.04"
"2025-02-01","2025-01-31","SF FuneralF986803       250201","","126.5","","1394507.54"
"2025-02-01","2025-01-31","SF FuneralFDC0000000JMVM250131","","63.25","","1394570.79"
"2025-02-01","2025-01-31","SF FuneralF1116800      250131","","126.5","","1394697.29"
"2025-02-01","2025-01-22","SF FuneralF828632       250122","","126.5","","1394823.79"
"2025-02-01","2025-01-22","SF FuneralF986886       250122","","126.5","","1394950.29"
"2025-02-01","2025-01-22","SF FuneralF1020955      250122","","126.5","","1395076.79"
"2025-02-01","2025-01-23","SF FuneralF842646       250123","","126.5","","1395203.29"
"2025-02-01","2025-01-23","SF FuneralF782860       250123","","126.5","","1395329.79"
"2025-02-01","2025-01-24","SF FuneralFDC00000006CPQ250127","","126.5","","1395456.29"
"2025-02-01","2025-01-24","SF FuneralF797076       250128","","126.5","","1395582.79"
"2025-02-01","2025-01-24","SF FuneralF809052       250128","","126.5","","1395709.29"
"2025-02-01","2025-01-24","SF FuneralF820887       250127","","126.5","","1395835.79"
"2025-02-01","2025-01-24","SF FuneralF822006       250128","","126.5","","1395962.29"
"2025-02-01","2025-01-24","SF FuneralF992165       250125","","126.5","","1396088.79"
"2025-02-01","2025-01-24","SF FuneralF1020934      250124","","126.5","","1396215.29"
"2025-02-01","2025-01-24","SF FuneralF1021062      250128","","126.5","","1396341.79"
"2025-02-01","2025-01-24","SF FuneralF1021067      250128","","126.5","","1396468.29"
"2025-02-01","2025-01-24","SF FuneralF1078536      250127","","126.5","","1396594.79"
"2025-02-01","2025-01-24","SF FuneralF1084353      250128","","126.5","","1396721.29"
"2025-02-01","2025-01-24","SF FuneralF1103175      250127","","126.5","","1396847.79"
"2025-02-01","2025-01-24","SF FuneralF1108732      250124","","126.5","","1396974.29"
"2025-02-01","2025-01-24","SF FuneralF1108767      250128","","126.5","","1397100.79"
"2025-02-01","2025-01-24","SF FuneralFDC0000000NHCZ250127","","126.5","","1397227.29"
"2025-02-01","2025-01-24","SF FuneralFDC0000000NHD0250127","","126.5","","1397353.79"
"2025-02-01","2025-01-24","SF FuneralFDC0000000PNPD250127","","126.5","","1397480.29"
"2025-02-01","2025-01-28","SF FuneralF813480       250128","","63.25","","1397543.54"
"2025-02-01","2025-01-28","SF FuneralF821871       250128","","63.25","","1397606.79"
"2025-02-01","2025-01-28","SF FuneralF830783       250128","","63.25","","1397670.04"
"2025-02-01","2025-01-28","SF FuneralFDC0000000FQV0250128","","63.25","","1397733.29"
"2025-02-01","2025-01-28","SF FuneralF992474       250128","","63.25","","1397796.54"
"2025-02-01","2025-01-28","SF FuneralF1021955      250128","","63.25","","1397859.79"
"2025-02-01","2025-01-28","SF FuneralF1052117      250128","","63.25","","1397923.04"
"2025-02-01","2025-01-28","SF FuneralF1120220      250128","","63.25","","1397986.29"
"2025-02-01","2025-01-29","SF FuneralFDC000000051JT250129","","220","","1398206.29"
"2025-02-01","2025-01-29","SF FuneralF828051       250129","","126.5","","1398332.79"
"2025-02-01","2025-01-29","SF FuneralFDC0000000M74G250129","","126.5","","1398459.29"
"2025-02-01","2025-01-29","SF FuneralF1125869      250129","","126.5","","1398585.79"
"2025-02-01","2025-01-28","SF FuneralFDC00000006Y7S250128","","31.63","","1398617.42"
"2025-02-01","2025-01-28","SF FuneralF987244       250128","","31.63","","1398649.05"
"2025-02-01","2025-01-28","SF FuneralF988005       250128","","31.63","","1398680.68"
"2025-02-01","2025-01-28","SF FuneralF1050698      250128","","31.63","","1398712.31"
"2025-02-01","2025-01-28","SF FuneralF1085179      250128","","31.63","","1398743.94"
"2025-02-01","2025-01-28","SF FuneralF1116010      250128","","31.63","","1398775.57"
"2025-02-01","2025-01-29","SF FuneralF842872       250129","","31.63","","1398807.2"
"2025-02-01","2025-01-29","SF FuneralF1129376      250129","","31.63","","1398838.83"
"2025-02-01","2025-01-22","SF FuneralFDC000000069FB250122","","126.5","","1398965.33"
"2025-02-01","2025-01-22","SF FuneralF815772       250122","","126.5","","1399091.83"
"2025-02-01","2025-01-24","SF FuneralFDC00000005MQV250127","","126.5","","1399218.33"
"2025-02-01","2025-01-24","SF FuneralFDC00000006KGR250127","","126.5","","1399344.83"
"2025-02-01","2025-01-24","SF FuneralFDC000000087YC250128","","126.5","","1399471.33"
"2025-02-01","2025-01-24","SF FuneralFDC00000008FKG250128","","126.5","","1399597.83"
"2025-02-01","2025-01-24","SF FuneralF802288       250124","","126.5","","1399724.33"
"2025-02-01","2025-01-24","SF FuneralFDC00000009TGM250128","","126.5","","1399850.83"
"2025-02-01","2025-01-24","SF FuneralF831939       250124","","126.5","","1399977.33"
"2025-02-01","2025-01-24","SF FuneralF841104       250127","","126.5","","1400103.83"
"2025-02-01","2025-01-24","SF FuneralF841155       250127","","126.5","","1400230.33"
"2025-02-01","2025-01-24","SF FuneralF841285       250127","","126.5","","1400356.83"
"2025-02-01","2025-01-24","SF FuneralF1021463      250127","","126.5","","1400483.33"
"2025-02-01","2025-01-24","SF FuneralF1074940      250125","","126.5","","1400609.83"
"2025-02-01","2025-01-24","SF FuneralF1078570      250125","","126.5","","1400736.33"
"2025-02-01","2025-01-24","SF FuneralF1078585      250127","","126.5","","1400862.83"
"2025-02-01","2025-01-24","SF FuneralF1079287      250127","","126.5","","1400989.33"
"2025-02-01","2025-01-24","SF FuneralFDC0000000MLB3250124","","126.5","","1401115.83"
"2025-02-01","2025-01-24","SF FuneralF1112129      250127","","126.5","","1401242.33"
"2025-02-01","2025-01-24","SF FuneralF1113281      250127","","126.5","","1401368.83"
"2025-02-01","2025-01-24","SF FuneralFDC0000000N4K7250124","","126.5","","1401495.33"
"2025-02-01","2025-01-24","SF FuneralFDC0000000N5N9250128","","126.5","","1401621.83"
"2025-02-01","2025-01-24","SF FuneralFDC0000000N7TL250127","","126.5","","1401748.33"
"2025-02-01","2025-01-24","SF FuneralF1117034      250127","","126.5","","1401874.83"
"2025-02-01","2025-01-24","SF FuneralF1117203      250127","","126.5","","1402001.33"
"2025-02-01","2025-01-24","SF FuneralF1118453      250127","","126.5","","1402127.83"
"2025-02-01","2025-01-24","SF FuneralF1120679      250127","","126.5","","1402254.33"
"2025-02-01","2025-01-24","SF FuneralF1120843      250128","","126.5","","1402380.83"
"2025-02-01","2025-01-24","SF FuneralF1121980      250128","","126.5","","1402507.33"
"2025-02-01","2025-01-24","SF FuneralFDC0000000PG88250127","","126.5","","1402633.83"
"2025-02-01","2025-01-24","SF FuneralF1126203      250128","","126.5","","1402760.33"
"2025-02-01","2025-01-24","SF FuneralF1126903      250128","","126.5","","1402886.83"
"2025-02-01","2025-01-24","SF FuneralFDC0000000PQLR250127","","191.5","","1403078.33"
"2025-02-01","2025-01-24","SF FuneralF1128066      250127","","126.5","","1403204.83"
"2025-02-01","2025-01-24","SF FuneralF1128229      250128","","126.5","","1403331.33"
"2025-02-01","2025-01-27","SF FuneralFDC00000005PH9250127","","63.25","","1403394.58"
"2025-02-01","2025-01-28","SF FuneralF1067947      250128","","63.25","","1403457.83"
"2025-02-01","2025-01-28","SF FuneralF1072850      250128","","63.25","","1403521.08"
"2025-02-01","2025-01-28","SF FuneralF1078528      250128","","63.25","","1403584.33"
"2025-02-01","2025-01-28","SF FuneralF1114745      250128","","63.25","","1403647.58"
"2025-02-01","2025-01-29","SF FuneralFDC00000007SPS250129","","63.25","","1403710.83"
"2025-02-01","2025-01-29","SF FuneralF809727       250129","","126.5","","1403837.33"
"2025-02-01","2025-01-27","SF FuneralFDC00000005XG9250127","","31.63","","1403868.96"
"2025-02-01","2025-01-28","SF FuneralFDC000000073P4250128","","31.63","","1403900.59"
"2025-02-01","2025-01-28","SF FuneralF798676       250128","","31.63","","1403932.22"
"2025-02-01","2025-01-28","SF FuneralFDC00000008G43250128","","31.63","","1403963.85"
"2025-02-01","2025-01-28","SF FuneralF808707       250128","","31.63","","1403995.48"
"2025-02-01","2025-01-28","SF FuneralF813552       250128","","31.63","","1404027.11"
"2025-02-01","2025-01-28","SF FuneralF820929       250128","","31.63","","1404058.74"
"2025-02-01","2025-01-28","SF FuneralF833123       250128","","31.63","","1404090.37"
"2025-02-01","2025-01-28","SF FuneralF991415       250128","","31.63","","1404122"
"2025-02-01","2025-01-28","SF FuneralF1017666      250128","","31.63","","1404153.63"
"2025-02-01","2025-01-28","SF FuneralF1060838      250128","","31.63","","1404185.26"
"2025-02-01","2025-01-28","SF FuneralF1061865      250128","","31.63","","1404216.89"
"2025-02-01","2025-01-28","SF FuneralF1062646      250128","","31.63","","1404248.52"
"2025-02-01","2025-01-28","SF FuneralF1073379      250128","","31.63","","1404280.15"
