"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-03-16","2025-03-12","SF FuneralF844166       250312","","126.5","","306665.5"
"2025-03-16","2025-03-12","SF FuneralF986932       250312","","126.5","","306792"
"2025-03-16","2025-03-12","SF FuneralFDC0000000KJ62250312","","126.5","","306918.5"
"2025-03-16","2025-03-12","SF FuneralF1083800      250312","","126.5","","307045"
"2025-03-16","2025-03-12","SF FuneralF1102951      250312","","126.5","","307171.5"
"2025-03-16","2025-03-12","SF FuneralF1111673      250312","","126.5","","307298"
"2025-03-16","2025-03-13","SF FuneralF1132775      250313","","126.5","","307424.5"
"2025-03-16","2025-03-11","SF FuneralF813326       250311","","31.63","","307456.13"
"2025-03-16","2025-03-11","SF FuneralF814431       250311","","31.63","","307487.76"
"2025-03-16","2025-03-12","SF FuneralFDC00000005N7Y250312","","126.5","","307614.26"
"2025-03-16","2025-03-12","SF FuneralFDC00000005N85250312","","126.5","","307740.76"
"2025-03-16","2025-03-12","SF FuneralFDC00000007NND250312","","126.5","","307867.26"
"2025-03-16","2025-03-14","SF FuneralFDC000000034WF250314","","220","","308087.26"
"2025-03-16","2025-03-14","SF FuneralFDC00000008NYM250314","","31.63","","308118.89"
"2025-03-16","2025-03-12","SF FuneralF819141       250312","","126.5","","308245.39"
"2025-03-16","2025-03-12","SF FuneralF989548       250312","","126.5","","308371.89"
"2025-03-16","2025-03-12","SF FuneralFDC0000000K8XN250312","","126.5","","308498.39"
"2025-03-16","2025-03-15","SF FuneralFDC00000007M50250315","","126.5","","308624.89"
"2025-03-16","2025-03-15","SF FuneralF1020559      250316","","126.5","","308751.39"
"2025-03-16","2025-03-11","SF FuneralFDC00000006YDC250311","","126.5","","308877.89"
"2025-03-16","2025-03-12","SF FuneralF1072854      250312","","126.5","","309004.39"
"2025-03-16","2025-03-12","SF FuneralF1072855      250312","","126.5","","309130.89"
"2025-03-16","2025-03-12","SF FuneralF1132406      250312","","126.5","","309257.39"
"2025-03-16","2025-03-12","SF FuneralF802401       250312","","63.25","","309320.64"
"2025-03-16","2025-03-12","SF FuneralF990133       250312","","126.5","","309447.14"
"2025-03-16","2025-03-12","SF FuneralFDC0000000KBFK250312","","126.5","","309573.64"
"2025-03-16","2025-03-12","SF FuneralF1079376      250312","","126.5","","309700.14"
"2025-03-16","2025-03-12","SF FuneralF1132973      250312","","126.5","","309826.64"
"2025-03-16","2025-03-11","SF FuneralFDC00000006L9F250311","","31.63","","309858.27"
"2025-03-16","2025-03-16","SF FuneralF833253       250316","","31.63","","309889.9"
"2025-03-16","2025-03-12","SF FuneralF1132911      250312","","31.63","","309921.53"
"2025-03-16","2025-03-12","SF FuneralFDC00000005NXL250312","","126.5","","310048.03"
"2025-03-16","2025-03-12","SF FuneralF1117363      250312","","126.5","","310174.53"
"2025-03-16","2025-03-14","SF FuneralFDC00000007MW5250314","","31.63","","310206.16"
"2025-03-16","2025-03-14","SF FuneralF818785       250314","","31.63","","310237.79"
"2025-03-16","2025-03-14","SF FuneralF1123029      250314","","126.5","","310364.29"
"2025-03-16","2025-03-16","SF FuneralF829764       250316","","63.25","","310427.54"
"2025-03-17","2025-03-12","SF FuneralF1119760      250312","","126.5","","310554.04"
"2025-03-17","2025-03-10","SF FuneralF827664       250310","","63.25","","310617.29"
"2025-03-17","2025-03-12","SF FuneralF1123492      250312","","126.5","","310743.79"
"2025-03-17","2025-03-13","SF FuneralF843570       250313","","31.63","","310775.42"
"2025-03-17","2025-03-14","SF FuneralF812905       250314","","31.63","","310807.05"
"2025-03-17","2025-03-14","SF FuneralF815510       250314","","31.63","","310838.68"
"2025-03-17","2025-03-15","SF FuneralF1079004      250316","","31.63","","310870.31"
"2025-03-17","2025-03-12","SF FuneralFDC000000075BD250312","","126.5","","310996.81"
"2025-03-17","2025-03-12","SF FuneralF815877       250312","","126.5","","311123.31"
"2025-03-17","2025-03-15","SF FuneralF1079334      250315","","126.5","","311249.81"
"2025-03-17","2025-03-12","SF FuneralFDC00000006XJG250312","","126.5","","311376.31"
"2025-03-17","2025-03-12","SF FuneralF808341       250312","","126.5","","311502.81"
"2025-03-17","2025-03-12","SF FuneralF990706       250312","","63.25","","311566.06"
"2025-03-17","2025-03-12","SF FuneralFDC0000000M2N1250312","","63.25","","311629.31"
"2025-03-17","2025-03-14","SF FuneralFDC00000006PSF250314","","31.63","","311660.94"
"2025-03-17","2025-03-14","SF FuneralFDC0000000L8B0250314","","31.63","","311692.57"
"2025-03-17","2025-03-14","SF FuneralF1126874      250314","","31.63","","311724.2"
"2025-03-17","2025-03-17","SF FuneralFDC00000005H8J250316","","31.63","","311755.83"
"2025-03-17","2025-03-17","SF FuneralFDC00000008H2Z250317","","126.5","","311882.33"
"2025-03-17","2025-03-17","SF FuneralF815501       250317","","63.25","","311945.58"
"2025-03-17","2025-03-17","SF FuneralF823244       250317","","126.5","","312072.08"
"2025-03-17","2025-03-17","SF FuneralF1066274      250317","","31.63","","312103.71"
"2025-03-17","2025-03-17","SF FuneralF1123277      250317","","31.63","","312135.34"
"2025-03-17","2025-03-14","SF FuneralFDC00000005PXF250314","","31.63","","312166.97"
"2025-03-17","2025-03-14","SF FuneralFDC00000005QCT250314","","31.63","","312198.6"
"2025-03-17","2025-03-14","SF FuneralFDC00000005V4S250314","","31.63","","312230.23"
"2025-03-17","2025-03-14","SF FuneralFDC00000007WBL250314","","31.63","","312261.86"
"2025-03-17","2025-03-14","SF FuneralFDC00000007WJL250314","","31.63","","312293.49"
"2025-03-17","2025-03-14","SF FuneralF795812       250314","","31.63","","312325.12"
"2025-03-17","2025-03-14","SF FuneralF790399       250314","","47.88","","312373"
"2025-03-17","2025-03-14","SF FuneralF817463       250314","","31.63","","312404.63"
"2025-03-17","2025-03-14","SF FuneralF830931       250314","","31.63","","312436.26"
"2025-03-17","2025-03-14","SF FuneralF832777       250314","","31.63","","312467.89"
"2025-03-17","2025-03-14","SF FuneralF819053       250314","","31.63","","312499.52"
"2025-03-17","2025-03-14","SF FuneralFDC0000000FQWF250314","","31.63","","312531.15"
