"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-02-12","2025-02-10","SF FuneralFDC00000006X3B250209","","126.5","","137359.79"
"2025-02-12","2025-02-04","SF FuneralFDC00000007F8K250204","","63.25","","137423.04"
"2025-02-12","2025-02-08","SF FuneralF1072684      250208","","31.63","","137454.67"
"2025-02-12","2025-02-11","SF FuneralFDC000000051KX250211","","31.63","","137486.3"
"2025-02-12","2025-02-08","SF FuneralFDC00000009MWX250208","","63.25","","137549.55"
"2025-02-12","2025-02-10","SF FuneralFDC00000005XG9250210","","31.63","","137581.18"
"2025-02-12","2025-02-11","SF FuneralF980415       250211","","31.63","","137612.81"
"2025-02-12","2025-02-08","SF FuneralFDC00000005XNC250208","","31.63","","137644.44"
"2025-02-12","2025-02-08","SF FuneralF1127843      250208","","31.63","","137676.07"
"2025-02-12","2025-02-08","SF FuneralF1130776      250208","","31.63","","137707.7"
"2025-02-12","2025-02-10","SF FuneralFDC00000006876250210","","126.5","","137834.2"
"2025-02-12","2025-02-10","SF FuneralFDC000000080YP250209","","63.25","","137897.45"
"2025-02-12","2025-02-10","SF FuneralF1072930      250210","","31.63","","137929.08"
"2025-02-12","2025-02-10","SF FuneralF1123098      250210","","31.63","","137960.71"
"2025-02-12","2025-02-11","SF FuneralFDC00000006MXW250211","","63.25","","138023.96"
"2025-02-12","2025-02-11","SF FuneralF833557       250211","","63.25","","138087.21"
"2025-02-12","2025-02-11","SF FuneralF1080249      250211","","31.63","","138118.84"
"2025-02-12","2025-02-10","SF FuneralF834627       250209","","31.63","","138150.47"
"2025-02-12","2025-02-10","SF FuneralFDC0000000M9K6250210","","63.25","","138213.72"
"2025-02-12","2025-02-12","SF FuneralFDC00000005JGX250212","","126.5","","138340.22"
"2025-02-12","2025-02-12","SF FuneralFDC000000061FJ250212","","126.5","","138466.72"
"2025-02-12","2025-02-12","SF FuneralFDC000000061FK250212","","126.5","","138593.22"
"2025-02-12","2025-02-12","SF FuneralFDC00000006LX0250212","","126.5","","138719.72"
"2025-02-12","2025-02-12","SF FuneralFDC00000006YNY250212","","126.5","","138846.22"
"2025-02-12","2025-02-12","SF FuneralFDC000000089MZ250212","","126.5","","138972.72"
"2025-02-12","2025-02-12","SF FuneralF803533       250212","","126.5","","139099.22"
"2025-02-12","2025-02-12","SF FuneralF808125       250212","","126.5","","139225.72"
"2025-02-12","2025-02-12","SF FuneralF822014       250212","","126.5","","139352.22"
"2025-02-12","2025-02-12","SF FuneralF794742       250212","","126.5","","139478.72"
"2025-02-12","2025-02-12","SF FuneralF830097       250212","","126.5","","139605.22"
"2025-02-12","2025-02-12","SF FuneralFDC0000000CNBM250212","","126.5","","139731.72"
"2025-02-12","2025-02-12","SF FuneralF1050832      250212","","126.5","","139858.22"
"2025-02-12","2025-02-12","SF FuneralF1116979      250212","","126.5","","139984.72"
"2025-02-12","2025-02-12","SF FuneralF1123465      250212","","126.5","","140111.22"
"2025-02-12","2025-02-12","SF FuneralFDC0000000PL6G250212","","126.5","","140237.72"
"2025-02-12","2025-02-12","SF FuneralFDC0000000PL6M250212","","126.5","","140364.22"
"2025-02-12","2025-02-12","SF FuneralF1130480      250212","","126.5","","140490.72"
"2025-02-12","2025-02-12","SF FuneralFDC00000005K1B250212","","126.5","","140617.22"
"2025-02-12","2025-02-12","SF FuneralFDC00000005K9B250212","","126.5","","140743.72"
"2025-02-12","2025-02-12","SF FuneralFDC00000005N53250212","","126.5","","140870.22"
"2025-02-12","2025-02-12","SF FuneralFDC0000000635T250212","","126.5","","140996.72"
"2025-02-12","2025-02-12","SF FuneralFDC0000000645D250212","","126.5","","141123.22"
"2025-02-12","2025-02-12","SF FuneralFDC00000007M3B250212","","126.5","","141249.72"
"2025-02-12","2025-02-12","SF FuneralFDC00000007MDX250212","","126.5","","141376.22"
"2025-02-12","2025-02-12","SF FuneralFDC00000007MDY250212","","126.5","","141502.72"
"2025-02-12","2025-02-12","SF FuneralFDC00000007N3L250212","","126.5","","141629.22"
"2025-02-12","2025-02-12","SF FuneralF808156       250212","","126.5","","141755.72"
"2025-02-12","2025-02-12","SF FuneralF810891       250212","","126.5","","141882.22"
"2025-02-12","2025-02-12","SF FuneralF819057       250212","","126.5","","142008.72"
"2025-02-12","2025-02-12","SF FuneralF821224       250212","","126.5","","142135.22"
"2025-02-12","2025-02-12","SF FuneralF829893       250212","","126.5","","142261.72"
"2025-02-12","2025-02-12","SF FuneralF1017041      250212","","126.5","","142388.22"
"2025-02-12","2025-02-11","SF FuneralF1054998      250211","","63.25","","142451.47"
"2025-02-12","2025-02-12","SF FuneralFDC00000005HS0250212","","126.5","","142577.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000005LH2250212","","126.5","","142704.47"
"2025-02-12","2025-02-12","SF FuneralFDC00000005LN8250212","","191.5","","142895.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000005LQK250212","","126.5","","143022.47"
"2025-02-12","2025-02-12","SF FuneralFDC00000005LYY250212","","126.5","","143148.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000005QPS250212","","126.5","","143275.47"
"2025-02-12","2025-02-12","SF FuneralFDC00000006S1V250212","","126.5","","143401.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000006TNT250212","","126.5","","143528.47"
"2025-02-12","2025-02-12","SF FuneralF800591       250212","","126.5","","143654.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000008Q6Q250212","","126.5","","143781.47"
"2025-02-12","2025-02-12","SF FuneralF818343       250212","","126.5","","143907.97"
"2025-02-12","2025-02-12","SF FuneralF820222       250212","","126.5","","144034.47"
"2025-02-12","2025-02-12","SF FuneralF989253       250212","","126.5","","144160.97"
"2025-02-12","2025-02-12","SF FuneralF989251       250212","","126.5","","144287.47"
"2025-02-12","2025-02-12","SF FuneralF989834       250212","","126.5","","144413.97"
"2025-02-12","2025-02-12","SF FuneralF990460       250212","","126.5","","144540.47"
"2025-02-12","2025-02-12","SF FuneralFDC0000000J28D250212","","126.5","","144666.97"
"2025-02-12","2025-02-12","SF FuneralF1016830      250212","","126.5","","144793.47"
"2025-02-12","2025-02-12","SF FuneralF1020450      250212","","126.5","","144919.97"
"2025-02-12","2025-02-12","SF FuneralF1054697      250212","","126.5","","145046.47"
"2025-02-12","2025-02-12","SF FuneralF1073408      250212","","126.5","","145172.97"
"2025-02-12","2025-02-12","SF FuneralF1080305      250212","","126.5","","145299.47"
"2025-02-12","2025-02-12","SF FuneralFDC0000000NFB5250212","","126.5","","145425.97"
"2025-02-12","2025-02-12","SF FuneralF1124154      250212","","126.5","","145552.47"
"2025-02-12","2025-02-12","SF FuneralFDC0000000P9J0250212","","126.5","","145678.97"
"2025-02-12","2025-02-12","SF FuneralFDC0000000P9J5250212","","126.5","","145805.47"
"2025-02-12","2025-02-12","SF FuneralFDC0000000PL6F250212","","126.5","","145931.97"
"2025-02-12","2025-02-12","SF FuneralF1129277      250212","","126.5","","146058.47"
"2025-02-12","2025-02-12","SF FuneralFDC0000000PZXJ250212","","126.5","","146184.97"
"2025-02-12","2025-02-12","SF FuneralFDC000000037DQ250212","","220","","146404.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000005M50250212","","126.5","","146531.47"
"2025-02-12","2025-02-12","SF FuneralFDC00000005Z5K250212","","126.5","","146657.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000006ND7250212","","126.5","","146784.47"
"2025-02-12","2025-02-12","SF FuneralFDC00000006S1F250212","","126.5","","146910.97"
"2025-02-12","2025-02-12","SF FuneralFDC00000006Y42250212","","126.5","","147037.47"
"2025-02-12","2025-02-12","SF FuneralFDC00000007XCB250212","","126.5","","147163.97"
"2025-02-12","2025-02-12","SF FuneralF786101       250212","","126.5","","147290.47"
"2025-02-12","2025-02-12","SF FuneralF814043       250212","","126.5","","147416.97"
"2025-02-12","2025-02-12","SF FuneralFDC0000000B1VV250212","","126.5","","147543.47"
"2025-02-12","2025-02-12","SF FuneralFDC0000000BG87250212","","126.5","","147669.97"
"2025-02-12","2025-02-12","SF FuneralF1079283      250212","","126.5","","147796.47"
"2025-02-12","2025-02-12","SF FuneralFDC0000000LLW8250212","","126.5","","147922.97"
"2025-02-12","2025-02-12","SF FuneralF1083739      250212","","126.5","","148049.47"
"2025-02-12","2025-02-12","SF FuneralF1124999      250212","","126.5","","148175.97"
"2025-02-12","2025-02-11","SF FuneralFDC000000061NF250211","","31.63","","148207.6"
"2025-02-12","2025-02-08","SF FuneralF1074785      250208","","31.63","","148239.23"
"2025-02-12","2025-02-12","SF FuneralFDC0000000618X250212","","126.5","","148365.73"
"2025-02-12","2025-02-12","SF FuneralFDC0000000619C250212","","126.5","","148492.23"
"2025-02-12","2025-02-12","SF FuneralFDC000000082HL250212","","126.5","","148618.73"
"2025-02-12","2025-02-12","SF FuneralFDC0000000JJ24250212","","126.5","","148745.23"
"2025-02-12","2025-02-12","SF FuneralF1103802      250212","","126.5","","148871.73"
"2025-02-12","2025-02-12","SF FuneralF1129285      250212","","126.5","","148998.23"
"2025-02-12","2025-02-12","SF FuneralFDC00000005HNS250212","","126.5","","149124.73"
"2025-02-12","2025-02-12","SF FuneralFDC00000005HTM250212","","126.5","","149251.23"
"2025-02-12","2025-02-12","SF FuneralFDC00000005KYY250212","","126.5","","149377.73"
