Txn date,Effective,Description,Truncated card number,Amount,Charges,Balance
2025/03/01,2025/03/01,36360,,500,,50000
2025/03/01,2025/02/22,SF FuneralFDC0000000795L250222,,31.63,,1340306.08
2025/03/01,2025/02/24,SF FuneralFDC000000069C5250224,,31.63,,1340337.71
2025/03/01,2025/02/24,SF FuneralFDC000000084S1250224,,31.63,,1340369.34
2025/03/01,2025/02/24,SF FuneralF810327       250224,,31.63,,1340400.97
2025/03/01,2025/02/24,SF FuneralF1079340      250224,,31.63,,1340432.6
2025/03/01,2025/02/24,SF FuneralF1111395      250224,,31.63,,1340464.23
2025/03/01,2025/02/24,SF FuneralFDC0000000NPG9250224,,31.63,,1340495.86
2025/03/01,2025/02/25,SF FuneralF805200       250225,,31.63,,1340527.49
2025/03/01,2025/02/25,SF FuneralF816436       250225,,31.63,,1340559.12
2025/03/01,2025/02/25,SF FuneralFDC0000000CWFK250225,,31.63,,1340590.75
2025/03/01,2025/02/25,SF FuneralF1020683      250225,,31.63,,1340622.38
2025/03/01,2025/02/25,SF FuneralF1033680      250225,,31.63,,1340654.01
2025/03/01,2025/02/25,SF FuneralF1115225      250225,,31.63,,1340685.64
2025/03/01,2025/02/25,SF FuneralFDC0000000NRVB250225,,31.63,,1340717.27
2025/03/01,2025/02/25,SF FuneralF1123030      250225,,31.63,,1340748.9
2025/03/01,2025/02/25,SF FuneralF1127417      250225,,31.63,,1340780.53
2025/03/01,2025/02/25,SF FuneralF1130616      250225,,31.63,,1340812.16
2025/03/01,2025/02/25,SF FuneralF743038       250225,,31.63,,1340843.79
2025/03/01,2025/02/25,SF FuneralF1132382      250225,,31.63,,1340875.42
2025/03/01,2025/02/26,SF FuneralFDC00000007DMT250226,,31.63,,1340907.05
2025/03/01,2025/02/22,SF FuneralFDC000000082KN250222,,126.5,,1341033.55
2025/03/01,2025/02/22,SF FuneralF819883       250222,,126.5,,1341160.05
2025/03/01,2025/02/22,SF FuneralF820021       250222,,126.5,,1341286.55
2025/03/01,2025/02/22,SF FuneralF828632       250222,,126.5,,1341413.05
2025/03/01,2025/02/22,SF FuneralF1061976      250222,,126.5,,1341539.55
2025/03/01,2025/02/22,SF FuneralF1108110      250222,,126.5,,1341666.05
2025/03/01,2025/02/22,SF FuneralF1129250      250222,,126.5,,1341792.55
2025/03/01,2025/02/24,SF FuneralF1020934      250224,,126.5,,1341919.05
2025/03/01,2025/02/24,SF FuneralFDC0000000MLB3250224,,126.5,,1342045.55
2025/03/01,2025/02/25,SF FuneralF816365       250225,,126.5,,1342172.05
2025/03/01,2025/02/25,SF FuneralF817194       250225,,126.5,,1342298.55
2025/03/01,2025/02/25,SF FuneralF992084       250225,,126.5,,1342425.05
2025/03/01,2025/02/25,SF FuneralF1080351      250225,,63.25,,1342488.3
2025/03/01,2025/02/25,SF FuneralF1120296      250225,,126.5,,1342614.8
2025/03/01,2025/02/25,SF FuneralF1127919      250225,,63.25,,1342678.05
2025/03/01,2025/02/26,SF FuneralFDC000000077ZJ250226,,126.5,,1342804.55
2025/03/01,2025/02/26,SF FuneralF1118417      250226,,126.5,,1342931.05
2025/03/01,2025/02/26,SF FuneralF1122781      250226,,126.5,,1343057.55
2025/03/01,2025/02/27,SF FuneralFDC000000056T2250227,,220,,1343277.55
2025/03/01,2025/02/27,SF FuneralF812127       250227,,126.5,,1343404.05
2025/03/01,2025/02/27,SF FuneralF813449       250227,,126.5,,1343530.55
2025/03/01,2025/02/27,SF FuneralF827874       250227,,126.5,,1343657.05
2025/03/01,2025/02/27,SF FuneralF1066139      250227,,126.5,,1343783.55
2025/03/01,2025/02/27,SF FuneralF1078585      250227,,126.5,,1343910.05
2025/03/01,2025/02/27,SF FuneralF1115103      250227,,126.5,,1344036.55
2025/03/01,2025/02/27,SF FuneralFDC0000000NHCZ250227,,126.5,,1344163.05
2025/03/01,2025/02/27,SF FuneralFDC0000000NHD0250227,,126.5,,1344289.55
2025/03/01,2025/02/27,SF FuneralF1073377      250227,,126.5,,1344416.05
2025/03/01,2025/02/27,SF FuneralF1120892      250227,,126.5,,1344542.55
2025/03/01,2025/02/28,SF FuneralF809383       250228,,126.5,,1344669.05
2025/03/01,2025/02/28,SF FuneralF834685       250228,,126.5,,1344795.55
2025/03/01,2025/02/28,SF FuneralF834733       250228,,126.5,,1344922.05
2025/03/01,2025/02/28,SF FuneralF844337       250228,,126.5,,1345048.55
2025/03/01,2025/02/28,SF FuneralF980892       250228,,126.5,,1345175.05
2025/03/01,2025/02/28,SF FuneralF987170       250228,,126.5,,1345301.55
2025/03/01,2025/02/28,SF FuneralF1021067      250228,,126.5,,1345428.05
2025/03/01,2025/02/28,SF FuneralF1021087      250228,,126.5,,1345554.55
2025/03/01,2025/02/28,SF FuneralF1021798      250228,,126.5,,1345681.05
2025/03/01,2025/02/28,SF FuneralFDC0000000L90R250228,,126.5,,1345807.55
2025/03/01,2025/02/28,SF FuneralF1110128      250228,,126.5,,1345934.05
2025/03/01,2025/02/28,SF FuneralFDC0000000N5N9250228,,126.5,,1346060.55
2025/03/01,2025/02/28,SF FuneralF784966       250228,,126.5,,1346187.05
2025/03/01,2025/02/24,SF FuneralFDC00000007DSV250224,,31.63,,1346218.68
2025/03/01,2025/02/25,SF FuneralFDC000000078FZ250225,,31.63,,1346250.31
2025/03/01,2025/02/25,SF FuneralF798676       250225,,31.63,,1346281.94
2025/03/01,2025/02/25,SF FuneralF820929       250225,,31.63,,1346313.57
2025/03/01,2025/02/25,SF FuneralF991415       250225,,31.63,,1346345.2
2025/03/01,2025/02/25,SF FuneralF1020608      250225,,31.63,,1346376.83
2025/03/01,2025/02/25,SF FuneralF1050698      250225,,31.63,,1346408.46
2025/03/01,2025/02/25,SF FuneralF1061865      250225,,31.63,,1346440.09
2025/03/01,2025/02/25,SF FuneralF1062646      250225,,31.63,,1346471.72
2025/03/01,2025/02/25,SF FuneralF1074598      250225,,31.63,,1346503.35
2025/03/01,2025/02/25,SF FuneralF1103795      250225,,31.63,,1346534.98
2025/03/01,2025/02/25,SF FuneralF1116010      250225,,31.63,,1346566.61
2025/03/01,2025/02/25,SF FuneralF1127719      250225,,31.63,,1346598.24
2025/03/01,2025/02/26,SF FuneralF842872       250226,,31.63,,1346629.87
2025/03/01,2025/02/24,SF FuneralF991385       250224,,31.63,,1346661.5
2025/03/01,2025/02/24,SF FuneralF1066299      250224,,31.63,,1346693.13
2025/03/01,2025/02/24,SF FuneralF1072928      250224,,31.63,,1346724.76
2025/03/01,2025/02/25,SF FuneralFDC000000073P4250225,,31.63,,1346756.39
2025/03/01,2025/02/25,SF FuneralFDC00000008G43250225,,31.63,,1346788.02
2025/03/01,2025/02/25,SF FuneralF813552       250225,,31.63,,1346819.65
2025/03/01,2025/02/25,SF FuneralF1017666      250225,,31.63,,1346851.28
2025/03/01,2025/02/25,SF FuneralF1060838      250225,,31.63,,1346882.91
2025/03/01,2025/02/25,SF FuneralFDC0000000LVMD250225,,31.63,,1346914.54
2025/03/01,2025/02/25,SF FuneralF1084842      250225,,31.63,,1346946.17
2025/03/01,2025/02/25,SF FuneralF1102942      250225,,31.63,,1346977.8
2025/03/01,2025/02/25,SF FuneralF1118338      250225,,31.63,,1347009.43
2025/03/01,2025/02/25,SF FuneralF1129417      250225,,31.63,,1347041.06
2025/03/01,2025/02/21,SF FuneralF988690       250222,,126.5,,1347167.56
2025/03/01,2025/02/22,SF FuneralFDC000000062PC250222,,126.5,,1347294.06
2025/03/01,2025/02/22,SF FuneralFDC00000007LTQ250222,,126.5,,1347420.56
2025/03/01,2025/02/22,SF FuneralFDC00000007LYP250222,,126.5,,1347547.06
2025/03/01,2025/02/22,SF FuneralF811741       250222,,126.5,,1347673.56
2025/03/01,2025/02/22,SF FuneralF818242       250222,,126.5,,1347800.06
2025/03/01,2025/02/22,SF FuneralF840792       250222,,126.5,,1347926.56
