"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-03-25","2025-03-22","SF FuneralFDC00000005L7Z250322","","126.5","","544396.11"
"2025-03-25","2025-03-25","SF FuneralF1103986      250325","","31.63","","544427.74"
"2025-03-25","2025-03-22","SF FuneralFDC00000005K7F250322","","126.5","","544554.24"
"2025-03-25","2025-03-22","SF FuneralFDC00000005ZDV250321","","126.5","","544680.74"
"2025-03-25","2025-03-22","SF FuneralFDC000000060B6250322","","126.5","","544807.24"
"2025-03-25","2025-03-22","SF FuneralFDC000000078NN250322","","126.5","","544933.74"
"2025-03-25","2025-03-22","SF FuneralFDC00000007N00250321","","126.5","","545060.24"
"2025-03-25","2025-03-22","SF FuneralFDC0000000836W250322","","126.5","","545186.74"
"2025-03-25","2025-03-22","SF FuneralF808972       250322","","126.5","","545313.24"
"2025-03-25","2025-03-22","SF FuneralF820095       250322","","126.5","","545439.74"
"2025-03-25","2025-03-22","SF FuneralF830990       250322","","126.5","","545566.24"
"2025-03-25","2025-03-22","SF FuneralFDC0000000CS3Z250322","","126.5","","545692.74"
"2025-03-25","2025-03-22","SF FuneralF778512       250322","","126.5","","545819.24"
"2025-03-25","2025-03-22","SF FuneralF1061659      250322","","126.5","","545945.74"
"2025-03-25","2025-03-22","SF FuneralF1120233      250322","","126.5","","546072.24"
"2025-03-25","2025-03-22","SF FuneralFDC0000000PY8T250322","","126.5","","546198.74"
"2025-03-25","2025-03-24","SF FuneralFDC000000060CJ250323","","126.5","","546325.24"
"2025-03-25","2025-03-24","SF FuneralFDC00000006867250324","","126.5","","546451.74"
"2025-03-25","2025-03-24","SF FuneralF815135       250324","","31.63","","546483.37"
"2025-03-25","2025-03-24","SF FuneralF1103857      250324","","31.63","","546515"
"2025-03-25","2025-03-18","SF FuneralF812316       250318","","31.63","","546546.63"
"2025-03-25","2025-03-20","SF FuneralF1073818      250321","","31.63","","546578.26"
"2025-03-25","2025-03-20","SF FuneralF1054780      250321","","31.63","","546609.89"
"2025-03-25","2025-03-22","SF FuneralF1054925      250323","","31.63","","546641.52"
"2025-03-25","2025-03-24","SF FuneralFDC00000005RR8250324","","31.63","","546673.15"
"2025-03-25","2025-03-24","SF FuneralF804126       250324","","31.63","","546704.78"
"2025-03-25","2025-03-24","SF FuneralF819012       250324","","31.63","","546736.41"
"2025-03-25","2025-03-24","SF FuneralF827602       250324","","31.63","","546768.04"
