"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-02-18","2025-02-17","SF FuneralFDC00000005Z06250217","","31.63","","270984.83"
"2025-02-18","2025-02-17","SF FuneralFDC00000005Z12250217","","31.63","","271016.46"
"2025-02-18","2025-02-17","SF FuneralFDC00000005Z25250217","","31.63","","271048.09"
"2025-02-18","2025-02-17","SF FuneralFDC00000009DX3250216","","31.63","","271079.72"
"2025-02-18","2025-02-17","SF FuneralFDC0000000N2L5250217","","126.5","","271206.22"
"2025-02-18","2025-02-17","SF FuneralF1127967      250217","","126.5","","271332.72"
"2025-02-18","2025-02-11","SF FuneralF992268       250211","","63.25","","271395.97"
"2025-02-18","2025-02-11","SF FuneralF1120411      250211","","63.25","","271459.22"
"2025-02-18","2025-02-13","SF FuneralF1111321      250213","","126.5","","271585.72"
"2025-02-18","2025-02-14","SF FuneralF1079321      250214","","63.25","","271648.97"
"2025-02-18","2025-02-14","SF FuneralF1123167      250214","","31.63","","271680.6"
"2025-02-18","2025-02-14","SF FuneralF1129945      250214","","31.63","","271712.23"
"2025-02-18","2025-02-12","SF FuneralF1073149      250212","","126.5","","271838.73"
"2025-02-18","2025-02-18","SF FuneralFDC00000005SDS250218","","126.5","","271965.23"
"2025-02-18","2025-02-18","SF FuneralF1103986      250218","","31.63","","271996.86"
"2025-02-18","2025-02-13","SF FuneralFDC0000000CZ73250213","","126.5","","272123.36"
"2025-02-18","2025-02-13","SF FuneralFDC0000000MKTG250213","","126.5","","272249.86"
"2025-02-18","2025-02-14","SF FuneralF844157       250214","","126.5","","272376.36"
"2025-02-18","2025-02-15","SF FuneralFDC0000000KHNV250215","","126.5","","272502.86"
"2025-02-18","2025-02-17","SF FuneralFDC000000036RN250216","","220","","272722.86"
"2025-02-18","2025-02-12","SF FuneralFDC00000005KR5250212","","126.5","","272849.36"
"2025-02-18","2025-02-12","SF FuneralFDC00000005M38250212","","126.5","","272975.86"
"2025-02-18","2025-02-12","SF FuneralFDC00000005V3N250212","","126.5","","273102.36"
"2025-02-18","2025-02-12","SF FuneralFDC00000005WPK250212","","126.5","","273228.86"
"2025-02-18","2025-02-12","SF FuneralFDC00000006TQ1250212","","126.5","","273355.36"
"2025-02-18","2025-02-12","SF FuneralFDC00000007DLP250212","","126.5","","273481.86"
"2025-02-18","2025-02-12","SF FuneralFDC00000007FWD250212","","126.5","","273608.36"
"2025-02-18","2025-02-12","SF FuneralFDC00000008B3L250212","","126.5","","273734.86"
"2025-02-18","2025-02-12","SF FuneralFDC000000095NR250212","","126.5","","273861.36"
"2025-02-18","2025-02-12","SF FuneralF818773       250212","","126.5","","273987.86"
"2025-02-18","2025-02-12","SF FuneralF822321       250212","","126.5","","274114.36"
"2025-02-18","2025-02-12","SF FuneralF830843       250212","","126.5","","274240.86"
"2025-02-18","2025-02-12","SF FuneralF1060675      250212","","126.5","","274367.36"
"2025-02-18","2025-02-12","SF FuneralF1072851      250212","","126.5","","274493.86"
"2025-02-18","2025-02-12","SF FuneralFDC0000000M71B250212","","126.5","","274620.36"
"2025-02-18","2025-02-12","SF FuneralF1111364      250212","","126.5","","274746.86"
"2025-02-18","2025-02-12","SF FuneralFDC0000000NBN5250212","","126.5","","274873.36"
"2025-02-18","2025-02-12","SF FuneralFDC0000000PNVF250212","","126.5","","274999.86"
"2025-02-18","2025-02-12","SF FuneralF1127493      250212","","31.63","","275031.49"
"2025-02-18","2025-02-12","SF FuneralF1129225      250212","","126.5","","275157.99"
"2025-02-18","2025-02-12","SF FuneralFDC0000000PZSD250212","","126.5","","275284.49"
"2025-02-18","2025-02-12","SF FuneralF1129969      250212","","126.5","","275410.99"
"2025-02-18","2025-02-13","SF FuneralF830649       250213","","31.63","","275442.62"
"2025-02-18","2025-02-14","SF FuneralFDC00000005GY1250214","","31.63","","275474.25"
"2025-02-18","2025-02-14","SF FuneralF819116       250214","","63.25","","275537.5"
"2025-02-18","2025-02-14","SF FuneralF834186       250214","","126.5","","275664"
"2025-02-18","2025-02-14","SF FuneralF785787       250214","","63.25","","275727.25"
"2025-02-18","2025-02-14","SF FuneralF1073818      250214","","31.63","","275758.88"
"2025-02-18","2025-02-14","SF FuneralF1054780      250214","","31.63","","275790.51"
"2025-02-18","2025-02-15","SF FuneralFDC0000000B7LZ250215","","126.5","","275917.01"
"2025-02-18","2025-02-15","SF FuneralF1054925      250216","","31.63","","275948.64"
"2025-02-18","2025-02-15","SF FuneralFDC0000000N01R250216","","126.5","","276075.14"
"2025-02-18","2025-02-17","SF FuneralFDC00000006B73250217","","126.5","","276201.64"
"2025-02-18","2025-02-17","SF FuneralFDC000000070Z5250216","","31.63","","276233.27"
"2025-02-18","2025-02-17","SF FuneralFDC00000007VKQ250217","","126.5","","276359.77"
"2025-02-18","2025-02-17","SF FuneralFDC000000080Y5250217","","126.5","","276486.27"
"2025-02-18","2025-02-17","SF FuneralF1052798      250217","","31.63","","276517.9"
