"Txn date","Effective","Description","Truncated card number","Amount","Charges","Balance"
"2025-03-09","2025-02-27","SF FuneralF843298       250227","","126.5","","187747.76"
"2025-03-09","2025-03-07","SF FuneralFDC00000008NYM250307","","31.63","","187779.39"
"2025-03-09","2025-03-08","SF FuneralF1060024      250308","","31.63","","187811.02"
"2025-03-09","2025-03-03","SF FuneralF1072934      250303","","31.63","","187842.65"
"2025-03-09","2025-03-06","SF FuneralF1123949      250306","","31.63","","187874.28"
"2025-03-09","2025-03-07","SF FuneralF1073818      250307","","31.63","","187905.91"
"2025-03-09","2025-03-06","SF FuneralF832011       250306","","63.25","","187969.16"
"2025-03-09","2025-03-09","SF FuneralF833253       250309","","31.63","","188000.79"
"2025-03-09","2025-03-04","SF FuneralFDC00000005LTH250304","","64.5","","188065.29"
"2025-03-09","2025-03-07","SF FuneralFDC0000000L3MT250307","","31.63","","188096.92"
"2025-03-09","2025-03-04","SF FuneralFDC00000007CF7250304","","63.25","","188160.17"
"2025-03-09","2025-03-05","SF FuneralF1132911      250305","","31.63","","188191.8"
"2025-03-09","2025-03-01","SF FuneralFDC00000007PMH250301","","126.5","","188318.3"
"2025-03-09","2025-03-04","SF FuneralFDC0000000HXY2250304","","31.63","","188349.93"
"2025-03-10","2025-03-07","SF FuneralFDC00000007RD4250307","","31.63","","188381.56"
"2025-03-10","2025-03-07","SF FuneralF981670       250307","","31.63","","188413.19"
"2025-03-10","2025-03-07","SF FuneralF1104243      250307","","31.63","","188444.82"
"2025-03-10","2025-03-07","SF FuneralFDC00000005CSP250307","","63.25","","188508.07"
"2025-03-10","2025-03-07","SF FuneralFDC00000005HS9250307","","126.5","","188634.57"
"2025-03-10","2025-03-07","SF FuneralF844458       250307","","126.5","","188761.07"
"2025-03-10","2025-03-10","SF FuneralFDC00000006876250310","","126.5","","188887.57"
"2025-03-10","2025-03-10","SF FuneralFDC00000007R5Z250310","","63.25","","188950.82"
"2025-03-10","2025-03-10","SF FuneralF809717       250310","","63.25","","189014.07"
"2025-03-10","2025-03-10","SF FuneralF819950       250310","","63.25","","189077.32"
"2025-03-10","2025-03-10","SF FuneralF831977       250309","","126.5","","189203.82"
"2025-03-10","2025-03-10","SF FuneralF844597       250310","","63.25","","189267.07"
"2025-03-10","2025-03-10","SF FuneralF1020942      250310","","63.25","","189330.32"
"2025-03-10","2025-03-10","SF FuneralF1060914      250310","","63.25","","189393.57"
"2025-03-10","2025-03-10","SF FuneralF1104033      250310","","63.25","","189456.82"
"2025-03-10","2025-03-10","SF FuneralFDC0000000M9K6250310","","63.25","","189520.07"
"2025-03-10","2025-03-10","SF FuneralFDC0000000Q1FK250310","","126.5","","189646.57"
"2025-03-10","2025-03-10","SF FuneralF1130435      250310","","126.5","","189773.07"
"2025-03-10","2025-03-06","SF FuneralF1085168      250306","","31.63","","189804.7"
"2025-03-10","2025-03-07","SF FuneralF790399       250307","","47.88","","189852.58"
"2025-03-10","2025-03-07","SF FuneralF813030       250307","","31.63","","189884.21"
"2025-03-10","2025-03-07","SF FuneralF815340       250307","","31.63","","189915.84"
"2025-03-10","2025-03-07","SF FuneralF817463       250307","","31.63","","189947.47"
"2025-03-10","2025-03-07","SF FuneralF830931       250307","","31.63","","189979.1"
"2025-03-10","2025-03-07","SF FuneralF832185       250307","","31.63","","190010.73"
"2025-03-10","2025-03-07","SF FuneralF832777       250307","","31.63","","190042.36"
"2025-03-10","2025-03-07","SF FuneralF819053       250307","","31.63","","190073.99"
"2025-03-10","2025-03-07","SF FuneralF843596       250307","","31.63","","190105.62"
"2025-03-10","2025-03-07","SF FuneralFDC0000000FQWF250307","","31.63","","190137.25"
"2025-03-10","2025-03-07","SF FuneralF844636       250307","","31.63","","190168.88"
"2025-03-10","2025-03-07","SF FuneralFDC0000000HXHK250307","","47.88","","190216.76"
"2025-03-10","2025-03-07","SF FuneralF992752       250307","","31.63","","190248.39"
"2025-03-10","2025-03-07","SF FuneralF993205       250307","","31.63","","190280.02"
"2025-03-10","2025-03-07","SF FuneralF1033620      250307","","31.63","","190311.65"
"2025-03-10","2025-03-07","SF FuneralF1052348      250307","","31.63","","190343.28"
"2025-03-10","2025-03-07","SF FuneralFDC0000000KLCD250307","","31.63","","190374.91"
"2025-03-10","2025-03-07","SF FuneralF1068145      250307","","31.63","","190406.54"
"2025-03-10","2025-03-07","SF FuneralF1072884      250307","","31.63","","190438.17"
"2025-03-10","2025-03-07","SF FuneralF1073030      250307","","31.63","","190469.8"
"2025-03-10","2025-03-07","SF FuneralF1104196      250307","","31.63","","190501.43"
"2025-03-10","2025-03-07","SF FuneralF1111672      250307","","31.63","","190533.06"
"2025-03-10","2025-03-10","SF FuneralFDC00000007DSV250310","","31.63","","190564.69"
"2025-03-10","2025-03-10","SF FuneralF831617       250310","","31.63","","190596.32"
"2025-03-10","2025-03-10","SF FuneralF1017111      250310","","31.63","","190627.95"
"2025-03-10","2025-03-10","SF FuneralF1052812      250310","","31.63","","190659.58"
"2025-03-10","2025-03-10","SF FuneralF1060055      250310","","31.63","","190691.21"
"2025-03-10","2025-03-10","SF FuneralF1129452      250310","","31.63","","190722.84"
"2025-03-10","2025-03-04","SF FuneralF1104197      250304","","31.63","","190754.47"
"2025-03-10","2025-03-06","SF FuneralF1108113      250306","","31.63","","190786.1"
"2025-03-10","2025-03-07","SF FuneralFDC00000005GY1250307","","31.63","","190817.73"
"2025-03-10","2025-03-07","SF FuneralFDC00000005PXF250307","","31.63","","190849.36"
"2025-03-10","2025-03-07","SF FuneralFDC00000005QCT250307","","31.63","","190880.99"
"2025-03-10","2025-03-07","SF FuneralFDC00000005V4S250307","","31.63","","190912.62"
"2025-03-10","2025-03-07","SF FuneralFDC000000069RZ250307","","31.63","","190944.25"
"2025-03-10","2025-03-07","SF FuneralFDC00000006R81250307","","31.63","","190975.88"
"2025-03-10","2025-03-07","SF FuneralFDC00000007WBL250307","","31.63","","191007.51"
"2025-03-10","2025-03-07","SF FuneralFDC00000007WJL250307","","31.63","","191039.14"
